CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN
06,Colima,010,Villa de Álvarez
07,Chiapas,010,Bejucal de Ocampo
08,Chihuahua,010,Buenaventura
09,Distrito Federal,010,Álvaro Obregón
10,Durango,010,Hidalgo
11,Guanajuato,010,Coroneo
12,Guerrero,010,Atlixtac
13,Hidalgo,010,Atitalaquia
14,Jalisco,010,Atemajac de Brizuela
15,México,010,Apaxco
16,Michoacán de Ocampo,010,Arteaga
17,Morelos,010,Jantetelco
18,Nayarit,010,Rosamorada
19,Nuevo León,010,El Carmen
20,Oaxaca,010,El Barrio de la Soledad
21,Puebla,010,Ajalpan
22,Querétaro,010,Landa de Matamoros
23,Quintana Roo,010,Bacalar
24,San Luis Potosí,010,Ciudad del Maíz
25,Sinaloa,010,El Fuerte
26,Sonora,010,Bacerac
27,Tabasco,010,Jalpa de Méndez
28,Tamaulipas,010,Cruillas
29,Tlaxcala,010,Chiautempan
30,Veracruz de Ignacio de la Llave,010,Altotonga
31,Yucatán,010,Cantamayec
32,Zacatecas,010,Fresnillo
01,Aguascalientes,011,San Francisco de los Romo
04,Campeche,011,Candelaria
05,Coahuila de Zaragoza,011,General Cepeda
07,Chiapas,011,Bella Vista
08,Chihuahua,011,Camargo
09,Distrito Federal,011,Tláhuac
10,Durango,011,Indé
11,Guanajuato,011,Cortazar
12,Guerrero,011,Atoyac de Álvarez
13,Hidalgo,011,Atlapexco
14,Jalisco,011,Atengo
15,México,011,Atenco
16,Michoacán de Ocampo,011,Briseñas
17,Morelos,011,Jiutepec
18,Nayarit,011,Ruíz
19,Nuevo León,011,Cerralvo
20,Oaxaca,011,Calihualá
21,Puebla,011,Albino Zertuche
22,Querétaro,011,El Marqués
24,San Luis Potosí,011,Ciudad Fernández
25,Sinaloa,011,Guasave
26,Sonora,011,Bacoachi
27,Tabasco,011,Jonuta
28,Tamaulipas,011,Gómez Farías
29,Tlaxcala,011,Muñoz de Domingo Arenas
30,Veracruz de Ignacio de la Llave,011,Alvarado
31,Yucatán,011,Celestún
32,Zacatecas,011,Trinidad García de la Cadena
05,Coahuila de Zaragoza,012,Guerrero
07,Chiapas,012,Berriozábal
08,Chihuahua,012,Carichí
09,Distrito Federal,012,Tlalpan
10,Durango,012,Lerdo
11,Guanajuato,012,Cuerámaro
12,Guerrero,012,Ayutla de los Libres
13,Hidalgo,012,Atotonilco el Grande
14,Jalisco,012,Atenguillo
15,México,012,Atizapán
16,Michoacán de Ocampo,012,Buenavista
17,Morelos,012,Jojutla
18,Nayarit,012,San Blas
19,Nuevo León,012,Ciénega de Flores
20,Oaxaca,012,Candelaria Loxicha
21,Puebla,012,Aljojuca
22,Querétaro,012,Pedro Escobedo
24,San Luis Potosí,012,Tancanhuitz
25,Sinaloa,012,Mazatlán
26,Sonora,012,Bácum
27,Tabasco,012,Macuspana
28,Tamaulipas,012,González
29,Tlaxcala,012,Españita
30,Veracruz de Ignacio de la Llave,012,Amatitlán
31,Yucatán,012,Cenotillo
32,Zacatecas,012,Genaro Codina
05,Coahuila de Zaragoza,013,Hidalgo
07,Chiapas,013,Bochil
08,Chihuahua,013,Casas Grandes
09,Distrito Federal,013,Xochimilco
10,Durango,013,Mapimí
11,Guanajuato,013,Doctor Mora
12,Guerrero,013,Azoyú
13,Hidalgo,013,Atotonilco de Tula
14,Jalisco,013,Atotonilco el Alto
15,México,013,Atizapán de Zaragoza
16,Michoacán de Ocampo,013,Carácuaro
17,Morelos,013,Jonacatepec
18,Nayarit,013,San Pedro Lagunillas
19,Nuevo León,013,China
20,Oaxaca,013,Ciénega de Zimatlán
21,Puebla,013,Altepexi
22,Querétaro,013,Peñamiller
24,San Luis Potosí,013,Ciudad Valles
25,Sinaloa,013,Mocorito
26,Sonora,013,Banámichi
27,Tabasco,013,Nacajuca
28,Tamaulipas,013,Güémez
29,Tlaxcala,013,Huamantla
30,Veracruz de Ignacio de la Llave,013,Naranjos Amatlán
31,Yucatán,013,Conkal
32,Zacatecas,013,General Enrique Estrada
05,Coahuila de Zaragoza,014,Jiménez
07,Chiapas,014,El Bosque
08,Chihuahua,014,Coronado
09,Distrito Federal,014,Benito Juárez
10,Durango,014,Mezquital
11,Guanajuato,014,Dolores Hidalgo Cuna de la Independencia Nacional
12,Guerrero,014,Benito Juárez
13,Hidalgo,014,Calnali
14,Jalisco,014,Atoyac
15,México,014,Atlacomulco
16,Michoacán de Ocampo,014,Coahuayana
17,Morelos,014,Mazatepec
18,Nayarit,014,Santa María del Oro
19,Nuevo León,014,Doctor Arroyo
20,Oaxaca,014,Ciudad Ixtepec
21,Puebla,014,Amixtlán
22,Querétaro,014,Querétaro
24,San Luis Potosí,014,Coxcatlán
25,Sinaloa,014,Rosario
26,Sonora,014,Baviácora
27,Tabasco,014,Paraíso
28,Tamaulipas,014,Guerrero
29,Tlaxcala,014,Hueyotlipan
30,Veracruz de Ignacio de la Llave,014,Amatlán de los Reyes
31,Yucatán,014,Cuncunul
32,Zacatecas,014,General Francisco R. Murguía
05,Coahuila de Zaragoza,015,Juárez
07,Chiapas,015,Cacahoatán
08,Chihuahua,015,Coyame del Sotol
09,Distrito Federal,015,Cuauhtémoc
10,Durango,015,Nazas
11,Guanajuato,015,Guanajuato
12,Guerrero,015,Buenavista de Cuéllar
13,Hidalgo,015,Cardonal
14,Jalisco,015,Autlán de Navarro
15,México,015,Atlautla
16,Michoacán de Ocampo,015,Coalcomán de Vázquez Pallares
17,Morelos,015,Miacatlán
18,Nayarit,015,Santiago Ixcuintla
19,Nuevo León,015,Doctor Coss
20,Oaxaca,015,Coatecas Altas
21,Puebla,015,Amozoc
22,Querétaro,015,San Joaquín
24,San Luis Potosí,015,Charcas
25,Sinaloa,015,Salvador Alvarado
26,Sonora,015,Bavispe
27,Tabasco,015,Tacotalpa
28,Tamaulipas,015,Gustavo Díaz Ordaz
29,Tlaxcala,015,Ixtacuixtla de Mariano Matamoros
30,Veracruz de Ignacio de la Llave,015,Angel R. Cabada
31,Yucatán,015,Cuzamá
32,Zacatecas,015,El Plateado de Joaquín Amaro
05,Coahuila de Zaragoza,016,Lamadrid
07,Chiapas,016,Catazajá
08,Chihuahua,016,La Cruz
09,Distrito Federal,016,Miguel Hidalgo
10,Durango,016,Nombre de Dios
11,Guanajuato,016,Huanímaro
12,Guerrero,016,Coahuayutla de José María Izazaga
13,Hidalgo,016,Cuautepec de Hinojosa
14,Jalisco,016,Ayotlán
15,México,016,Axapusco
16,Michoacán de Ocampo,016,Coeneo
17,Morelos,016,Ocuituco
18,Nayarit,016,Tecuala
19,Nuevo León,016,Doctor González
20,Oaxaca,016,Coicoyán de las Flores
21,Puebla,016,Aquixtla
22,Querétaro,016,San Juan del Río
24,San Luis Potosí,016,Ebano
25,Sinaloa,016,San Ignacio
26,Sonora,016,Benjamín Hill
27,Tabasco,016,Teapa
28,Tamaulipas,016,Hidalgo
29,Tlaxcala,016,Ixtenco
30,Veracruz de Ignacio de la Llave,016,La Antigua
31,Yucatán,016,Chacsinkín
32,Zacatecas,016,General Pánfilo Natera
05,Coahuila de Zaragoza,017,Matamoros
07,Chiapas,017,Cintalapa
08,Chihuahua,017,Cuauhtémoc
09,Distrito Federal,017,Venustiano Carranza
10,Durango,017,Ocampo
11,Guanajuato,017,Irapuato
12,Guerrero,017,Cocula
13,Hidalgo,017,Chapantongo
14,Jalisco,017,Ayutla
15,México,017,Ayapango
16,Michoacán de Ocampo,017,Contepec
17,Morelos,017,Puente de Ixtla
18,Nayarit,017,Tepic
19,Nuevo León,017,Galeana
20,Oaxaca,017,La Compañía
21,Puebla,017,Atempan
22,Querétaro,017,Tequisquiapan
24,San Luis Potosí,017,Guadalcázar
25,Sinaloa,017,Sinaloa
26,Sonora,017,Caborca
27,Tabasco,017,Tenosique
28,Tamaulipas,017,Jaumave
29,Tlaxcala,017,Mazatecochco de José María Morelos
30,Veracruz de Ignacio de la Llave,017,Apazapan
31,Yucatán,017,Chankom
32,Zacatecas,017,Guadalupe
05,Coahuila de Zaragoza,018,Monclova
07,Chiapas,018,Coapilla
08,Chihuahua,018,Cusihuiriachi
10,Durango,018,El Oro
11,Guanajuato,018,Jaral del Progreso
12,Guerrero,018,Copala
13,Hidalgo,018,Chapulhuacán
14,Jalisco,018,La Barca
15,México,018,Calimaya
16,Michoacán de Ocampo,018,Copándaro
17,Morelos,018,Temixco
18,Nayarit,018,Tuxpan
19,Nuevo León,018,García
20,Oaxaca,018,Concepción Buenavista
21,Puebla,018,Atexcal
22,Querétaro,018,Tolimán
24,San Luis Potosí,018,Huehuetlán
25,Sinaloa,018,Navolato
26,Sonora,018,Cajeme
28,Tamaulipas,018,Jiménez
29,Tlaxcala,018,Contla de Juan Cuamatzi
30,Veracruz de Ignacio de la Llave,018,Aquila
31,Yucatán,018,Chapab
32,Zacatecas,018,Huanusco
05,Coahuila de Zaragoza,019,Morelos
07,Chiapas,019,Comitán de Domínguez
08,Chihuahua,019,Chihuahua
10,Durango,019,Otáez
11,Guanajuato,019,Jerécuaro
12,Guerrero,019,Copalillo
13,Hidalgo,019,Chilcuautla
14,Jalisco,019,Bolaños
15,México,019,Capulhuac
16,Michoacán de Ocampo,019,Cotija
17,Morelos,019,Tepalcingo
18,Nayarit,019,La Yesca
19,Nuevo León,019,San Pedro Garza García
20,Oaxaca,019,Concepción Pápalo
21,Puebla,019,Atlixco
24,San Luis Potosí,019,Lagunillas
26,Sonora,019,Cananea
28,Tamaulipas,019,Llera
29,Tlaxcala,019,Tepetitla de Lardizábal
30,Veracruz de Ignacio de la Llave,019,Astacinga
31,Yucatán,019,Chemax
32,Zacatecas,019,Jalpa
05,Coahuila de Zaragoza,020,Múzquiz
07,Chiapas,020,La Concordia
08,Chihuahua,020,Chínipas
10,Durango,020,Pánuco de Coronado
11,Guanajuato,020,León
12,Guerrero,020,Copanatoyac
13,Hidalgo,020,Eloxochitlán
14,Jalisco,020,Cabo Corrientes
15,México,020,Coacalco de Berriozábal
16,Michoacán de Ocampo,020,Cuitzeo
17,Morelos,020,Tepoztlán
18,Nayarit,020,Bahía de Banderas
19,Nuevo León,020,General Bravo
20,Oaxaca,020,Constancia del Rosario
21,Puebla,020,Atoyatempan
24,San Luis Potosí,020,Matehuala
26,Sonora,020,Carbó
28,Tamaulipas,020,Mainero
29,Tlaxcala,020,Sanctórum de Lázaro Cárdenas
30,Veracruz de Ignacio de la Llave,020,Atlahuilco
31,Yucatán,020,Chicxulub Pueblo
32,Zacatecas,020,Jerez
05,Coahuila de Zaragoza,021,Nadadores
07,Chiapas,021,Copainalá
08,Chihuahua,021,Delicias
10,Durango,021,Peñón Blanco
11,Guanajuato,021,Moroleón
12,Guerrero,021,Coyuca de Benítez
13,Hidalgo,021,Emiliano Zapata
14,Jalisco,021,Casimiro Castillo
15,México,021,Coatepec Harinas
16,Michoacán de Ocampo,021,Charapan
17,Morelos,021,Tetecala
19,Nuevo León,021,General Escobedo
20,Oaxaca,021,Cosolapa
21,Puebla,021,Atzala
24,San Luis Potosí,021,Mexquitic de Carmona
26,Sonora,021,La Colorada
28,Tamaulipas,021,El Mante
29,Tlaxcala,021,Nanacamilpa de Mariano Arista
30,Veracruz de Ignacio de la Llave,021,Atoyac
31,Yucatán,021,Chichimilá
32,Zacatecas,021,Jiménez del Teul
05,Coahuila de Zaragoza,022,Nava
07,Chiapas,022,Chalchihuitán
08,Chihuahua,022,Dr. Belisario Domínguez
10,Durango,022,Poanas
11,Guanajuato,022,Ocampo
12,Guerrero,022,Coyuca de Catalán
13,Hidalgo,022,Epazoyucan
14,Jalisco,022,Cihuatlán
15,México,022,Cocotitlán
16,Michoacán de Ocampo,022,Charo
17,Morelos,022,Tetela del Volcán
19,Nuevo León,022,General Terán
20,Oaxaca,022,Cosoltepec
21,Puebla,022,Atzitzihuacán
24,San Luis Potosí,022,Moctezuma
26,Sonora,022,Cucurpe
28,Tamaulipas,022,Matamoros
29,Tlaxcala,022,Acuamanala de Miguel Hidalgo
30,Veracruz de Ignacio de la Llave,022,Atzacan
31,Yucatán,022,Chikindzonot
32,Zacatecas,022,Juan Aldama
05,Coahuila de Zaragoza,023,Ocampo
07,Chiapas,023,Chamula
08,Chihuahua,023,Galeana
10,Durango,023,Pueblo Nuevo
11,Guanajuato,023,Pénjamo
12,Guerrero,023,Cuajinicuilapa
13,Hidalgo,023,Francisco I. Madero
14,Jalisco,023,Zapotlán el Grande
15,México,023,Coyotepec
16,Michoacán de Ocampo,023,Chavinda
17,Morelos,023,Tlalnepantla
19,Nuevo León,023,General Treviño
20,Oaxaca,023,Cuilápam de Guerrero
21,Puebla,023,Atzitzintla
24,San Luis Potosí,023,Rayón
26,Sonora,023,Cumpas
28,Tamaulipas,023,Méndez
29,Tlaxcala,023,Natívitas
30,Veracruz de Ignacio de la Llave,023,Atzalan
31,Yucatán,023,Chocholá
32,Zacatecas,023,Juchipila
05,Coahuila de Zaragoza,024,Parras
07,Chiapas,024,Chanal
08,Chihuahua,024,Santa Isabel
10,Durango,024,Rodeo
11,Guanajuato,024,Pueblo Nuevo
12,Guerrero,024,Cualác
13,Hidalgo,024,Huasca de Ocampo
14,Jalisco,024,Cocula
15,México,024,Cuautitlán
16,Michoacán de Ocampo,024,Cherán
17,Morelos,024,Tlaltizapán de Zapata
19,Nuevo León,024,General Zaragoza
20,Oaxaca,024,Cuyamecalco Villa de Zaragoza
21,Puebla,024,Axutla
24,San Luis Potosí,024,Rioverde
26,Sonora,024,Divisaderos
28,Tamaulipas,024,Mier
29,Tlaxcala,024,Panotla
30,Veracruz de Ignacio de la Llave,024,Tlaltetela
31,Yucatán,024,Chumayel
32,Zacatecas,024,Loreto
05,Coahuila de Zaragoza,025,Piedras Negras
07,Chiapas,025,Chapultenango
08,Chihuahua,025,Gómez Farías
10,Durango,025,San Bernardo
11,Guanajuato,025,Purísima del Rincón
12,Guerrero,025,Cuautepec
13,Hidalgo,025,Huautla
14,Jalisco,025,Colotlán
15,México,025,Chalco
16,Michoacán de Ocampo,025,Chilchota
17,Morelos,025,Tlaquiltenango
19,Nuevo León,025,General Zuazua
20,Oaxaca,025,Chahuites
21,Puebla,025,Ayotoxco de Guerrero
24,San Luis Potosí,025,Salinas
26,Sonora,025,Empalme
28,Tamaulipas,025,Miguel Alemán
29,Tlaxcala,025,San Pablo del Monte
30,Veracruz de Ignacio de la Llave,025,Ayahualulco
31,Yucatán,025,Dzán
32,Zacatecas,025,Luis Moya
05,Coahuila de Zaragoza,026,Progreso
07,Chiapas,026,Chenalhó
08,Chihuahua,026,Gran Morelos
10,Durango,026,San Dimas
11,Guanajuato,026,Romita
12,Guerrero,026,Cuetzala del Progreso
13,Hidalgo,026,Huazalingo
14,Jalisco,026,Concepción de Buenos Aires
15,México,026,Chapa de Mota
16,Michoacán de Ocampo,026,Chinicuila
17,Morelos,026,Tlayacapan
19,Nuevo León,026,Guadalupe
20,Oaxaca,026,Chalcatongo de Hidalgo
21,Puebla,026,Calpan
24,San Luis Potosí,026,San Antonio
26,Sonora,026,Etchojoa
28,Tamaulipas,026,Miquihuana
29,Tlaxcala,026,Santa Cruz Tlaxcala
30,Veracruz de Ignacio de la Llave,026,Banderilla
31,Yucatán,026,Dzemul
32,Zacatecas,026,Mazapil
05,Coahuila de Zaragoza,027,Ramos Arizpe
07,Chiapas,027,Chiapa de Corzo
08,Chihuahua,027,Guachochi
10,Durango,027,San Juan de Guadalupe
11,Guanajuato,027,Salamanca
12,Guerrero,027,Cutzamala de Pinzón
13,Hidalgo,027,Huehuetla
14,Jalisco,027,Cuautitlán de García Barragán
15,México,027,Chapultepec
16,Michoacán de Ocampo,027,Chucándiro
17,Morelos,027,Totolapan
19,Nuevo León,027,Los Herreras
20,Oaxaca,027,Chiquihuitlán de Benito Juárez
21,Puebla,027,Caltepec
24,San Luis Potosí,027,San Ciro de Acosta
26,Sonora,027,Fronteras
28,Tamaulipas,027,Nuevo Laredo
29,Tlaxcala,027,Tenancingo
30,Veracruz de Ignacio de la Llave,027,Benito Juárez
31,Yucatán,027,Dzidzantún
32,Zacatecas,027,Melchor Ocampo
05,Coahuila de Zaragoza,028,Sabinas
07,Chiapas,028,Chiapilla
08,Chihuahua,028,Guadalupe
10,Durango,028,San Juan del Río
11,Guanajuato,028,Salvatierra
12,Guerrero,028,Chilapa de Álvarez
13,Hidalgo,028,Huejutla de Reyes
14,Jalisco,028,Cuautla
15,México,028,Chiautla
16,Michoacán de Ocampo,028,Churintzio
17,Morelos,028,Xochitepec
19,Nuevo León,028,Higueras
20,Oaxaca,028,Heroica Ciudad de Ejutla de Crespo
21,Puebla,028,Camocuautla
24,San Luis Potosí,028,San Luis Potosí
26,Sonora,028,Granados
28,Tamaulipas,028,Nuevo Morelos
29,Tlaxcala,028,Teolocholco
30,Veracruz de Ignacio de la Llave,028,Boca del Río
31,Yucatán,028,Dzilam de Bravo
32,Zacatecas,028,Mezquital del Oro
05,Coahuila de Zaragoza,029,Sacramento
07,Chiapas,029,Chicoasén
08,Chihuahua,029,Guadalupe y Calvo
10,Durango,029,San Luis del Cordero
11,Guanajuato,029,San Diego de la Unión
12,Guerrero,029,Chilpancingo de los Bravo
13,Hidalgo,029,Huichapan
14,Jalisco,029,Cuquío
15,México,029,Chicoloapan
16,Michoacán de Ocampo,029,Churumuco
17,Morelos,029,Yautepec
19,Nuevo León,029,Hualahuises
20,Oaxaca,029,Eloxochitlán de Flores Magón
21,Puebla,029,Caxhuacan
24,San Luis Potosí,029,San Martín Chalchicuautla
26,Sonora,029,Guaymas
28,Tamaulipas,029,Ocampo
29,Tlaxcala,029,Tepeyanco
30,Veracruz de Ignacio de la Llave,029,Calcahualco
31,Yucatán,029,Dzilam González
32,Zacatecas,029,Miguel Auza
05,Coahuila de Zaragoza,030,Saltillo
07,Chiapas,030,Chicomuselo
08,Chihuahua,030,Guazapares
10,Durango,030,San Pedro del Gallo
11,Guanajuato,030,San Felipe
12,Guerrero,030,Florencio Villarreal
13,Hidalgo,030,Ixmiquilpan
14,Jalisco,030,Chapala
15,México,030,Chiconcuac
16,Michoacán de Ocampo,030,Ecuandureo
17,Morelos,030,Yecapixtla
19,Nuevo León,030,Iturbide
20,Oaxaca,030,El Espinal
21,Puebla,030,Coatepec
24,San Luis Potosí,030,San Nicolás Tolentino
26,Sonora,030,Hermosillo
28,Tamaulipas,030,Padilla
29,Tlaxcala,030,Terrenate
30,Veracruz de Ignacio de la Llave,030,Camerino Z. Mendoza
31,Yucatán,030,Dzitás
32,Zacatecas,030,Momax
05,Coahuila de Zaragoza,031,San Buenaventura
07,Chiapas,031,Chilón
08,Chihuahua,031,Guerrero
10,Durango,031,Santa Clara
11,Guanajuato,031,San Francisco del Rincón
12,Guerrero,031,General Canuto A. Neri
13,Hidalgo,031,Jacala de Ledezma
14,Jalisco,031,Chimaltitán
15,México,031,Chimalhuacán
16,Michoacán de Ocampo,031,Epitacio Huerta
17,Morelos,031,Zacatepec
19,Nuevo León,031,Juárez
20,Oaxaca,031,Tamazulápam del Espíritu Santo
21,Puebla,031,Coatzingo
24,San Luis Potosí,031,Santa Catarina
26,Sonora,031,Huachinera
28,Tamaulipas,031,Palmillas
29,Tlaxcala,031,Tetla de la Solidaridad
30,Veracruz de Ignacio de la Llave,031,Carrillo Puerto
31,Yucatán,031,Dzoncauich
32,Zacatecas,031,Monte Escobedo
05,Coahuila de Zaragoza,032,San Juan de Sabinas
07,Chiapas,032,Escuintla
08,Chihuahua,032,Hidalgo del Parral
10,Durango,032,Santiago Papasquiaro
11,Guanajuato,032,San José Iturbide
12,Guerrero,032,General Heliodoro Castillo
13,Hidalgo,032,Jaltocán
14,Jalisco,032,Chiquilistlán
15,México,032,Donato Guerra
16,Michoacán de Ocampo,032,Erongarícuaro
17,Morelos,032,Zacualpan
19,Nuevo León,032,Lampazos de Naranjo
20,Oaxaca,032,Fresnillo de Trujano
21,Puebla,032,Cohetzala
24,San Luis Potosí,032,Santa María del Río
26,Sonora,032,Huásabas
28,Tamaulipas,032,Reynosa
29,Tlaxcala,032,Tetlatlahuca
30,Veracruz de Ignacio de la Llave,032,Catemaco
31,Yucatán,032,Espita
32,Zacatecas,032,Morelos
05,Coahuila de Zaragoza,033,San Pedro
07,Chiapas,033,Francisco León
08,Chihuahua,033,Huejotitán
10,Durango,033,Súchil
11,Guanajuato,033,San Luis de la Paz
12,Guerrero,033,Huamuxtitlán
13,Hidalgo,033,Juárez Hidalgo
14,Jalisco,033,Degollado
15,México,033,Ecatepec de Morelos
16,Michoacán de Ocampo,033,Gabriel Zamora
17,Morelos,033,Temoac
19,Nuevo León,033,Linares
20,Oaxaca,033,Guadalupe Etla
21,Puebla,033,Cohuecan
24,San Luis Potosí,033,Santo Domingo
26,Sonora,033,Huatabampo
28,Tamaulipas,033,Río Bravo
29,Tlaxcala,033,Tlaxcala
30,Veracruz de Ignacio de la Llave,033,Cazones de Herrera
31,Yucatán,033,Halachó
32,Zacatecas,033,Moyahua de Estrada
05,Coahuila de Zaragoza,034,Sierra Mojada
07,Chiapas,034,Frontera Comalapa
08,Chihuahua,034,Ignacio Zaragoza
10,Durango,034,Tamazula
11,Guanajuato,034,Santa Catarina
12,Guerrero,034,Huitzuco de los Figueroa
13,Hidalgo,034,Lolotla
14,Jalisco,034,Ejutla
15,México,034,Ecatzingo
16,Michoacán de Ocampo,034,Hidalgo
19,Nuevo León,034,Marín
20,Oaxaca,034,Guadalupe de Ramírez
21,Puebla,034,Coronango
24,San Luis Potosí,034,San Vicente Tancuayalab
26,Sonora,034,Huépac
28,Tamaulipas,034,San Carlos
29,Tlaxcala,034,Tlaxco
30,Veracruz de Ignacio de la Llave,034,Cerro Azul
31,Yucatán,034,Hocabá
32,Zacatecas,034,Nochistlán de Mejía
05,Coahuila de Zaragoza,035,Torreón
07,Chiapas,035,Frontera Hidalgo
08,Chihuahua,035,Janos
10,Durango,035,Tepehuanes
11,Guanajuato,035,Santa Cruz de Juventino Rosas
12,Guerrero,035,Iguala de la Independencia
13,Hidalgo,035,Metepec
14,Jalisco,035,Encarnación de Díaz
15,México,035,Huehuetoca
16,Michoacán de Ocampo,035,La Huacana
19,Nuevo León,035,Melchor Ocampo
20,Oaxaca,035,Guelatao de Juárez
21,Puebla,035,Coxcatlán
24,San Luis Potosí,035,Soledad de Graciano Sánchez
26,Sonora,035,Imuris
28,Tamaulipas,035,San Fernando
29,Tlaxcala,035,Tocatlán
30,Veracruz de Ignacio de la Llave,035,Citlaltépetl
31,Yucatán,035,Hoctún
32,Zacatecas,035,Noria de Ángeles
05,Coahuila de Zaragoza,036,Viesca
07,Chiapas,036,La Grandeza
08,Chihuahua,036,Jiménez
10,Durango,036,Tlahualilo
11,Guanajuato,036,Santiago Maravatío
12,Guerrero,036,Igualapa
13,Hidalgo,036,San Agustín Metzquititlán
14,Jalisco,036,Etzatlán
15,México,036,Hueypoxtla
16,Michoacán de Ocampo,036,Huandacareo
19,Nuevo León,036,Mier y Noriega
20,Oaxaca,036,Guevea de Humboldt
21,Puebla,036,Coyomeapan
24,San Luis Potosí,036,Tamasopo
26,Sonora,036,Magdalena
28,Tamaulipas,036,San Nicolás
29,Tlaxcala,036,Totolac
30,Veracruz de Ignacio de la Llave,036,Coacoatzintla
31,Yucatán,036,Homún
32,Zacatecas,036,Ojocaliente
05,Coahuila de Zaragoza,037,Villa Unión
07,Chiapas,037,Huehuetán
08,Chihuahua,037,Juárez
10,Durango,037,Topia
11,Guanajuato,037,Silao
12,Guerrero,037,Ixcateopan de Cuauhtémoc
13,Hidalgo,037,Metztitlán
14,Jalisco,037,El Grullo
15,México,037,Huixquilucan
16,Michoacán de Ocampo,037,Huaniqueo
19,Nuevo León,037,Mina
20,Oaxaca,037,Mesones Hidalgo
21,Puebla,037,Coyotepec
24,San Luis Potosí,037,Tamazunchale
26,Sonora,037,Mazatán
28,Tamaulipas,037,Soto la Marina
29,Tlaxcala,037,Ziltlaltépec de Trinidad Sánchez Santos
30,Veracruz de Ignacio de la Llave,037,Coahuitlán
31,Yucatán,037,Huhí
32,Zacatecas,037,Pánuco
05,Coahuila de Zaragoza,038,Zaragoza
07,Chiapas,038,Huixtán
08,Chihuahua,038,Julimes
10,Durango,038,Vicente Guerrero
11,Guanajuato,038,Tarandacuao
12,Guerrero,038,Zihuatanejo de Azueta
13,Hidalgo,038,Mineral del Chico
14,Jalisco,038,Guachinango
15,México,038,Isidro Fabela
16,Michoacán de Ocampo,038,Huetamo
19,Nuevo León,038,Montemorelos
20,Oaxaca,038,Villa Hidalgo
21,Puebla,038,Cuapiaxtla de Madero
24,San Luis Potosí,038,Tampacán
26,Sonora,038,Moctezuma
28,Tamaulipas,038,Tampico
29,Tlaxcala,038,Tzompantepec
30,Veracruz de Ignacio de la Llave,038,Coatepec
31,Yucatán,038,Hunucmá
32,Zacatecas,038,Pinos
07,Chiapas,039,Huitiupán
08,Chihuahua,039,López
10,Durango,039,Nuevo Ideal
11,Guanajuato,039,Tarimoro
12,Guerrero,039,Juan R. Escudero
13,Hidalgo,039,Mineral del Monte
14,Jalisco,039,Guadalajara
15,México,039,Ixtapaluca
16,Michoacán de Ocampo,039,Huiramba
19,Nuevo León,039,Monterrey
20,Oaxaca,039,Heroica Ciudad de Huajuapan de León
21,Puebla,039,Cuautempan
24,San Luis Potosí,039,Tampamolón Corona
26,Sonora,039,Naco
28,Tamaulipas,039,Tula
29,Tlaxcala,039,Xaloztoc
30,Veracruz de Ignacio de la Llave,039,Coatzacoalcos
31,Yucatán,039,Ixil
32,Zacatecas,039,Río Grande
07,Chiapas,040,Huixtla
08,Chihuahua,040,Madera
11,Guanajuato,040,Tierra Blanca
12,Guerrero,040,Leonardo Bravo
13,Hidalgo,040,La Misión
14,Jalisco,040,Hostotipaquillo
15,México,040,Ixtapan de la Sal
16,Michoacán de Ocampo,040,Indaparapeo
19,Nuevo León,040,Parás
20,Oaxaca,040,Huautepec
21,Puebla,040,Cuautinchán
24,San Luis Potosí,040,Tamuín
26,Sonora,040,Nácori Chico
28,Tamaulipas,040,Valle Hermoso
29,Tlaxcala,040,Xaltocan
30,Veracruz de Ignacio de la Llave,040,Coatzintla
31,Yucatán,040,Izamal
32,Zacatecas,040,Sain Alto
07,Chiapas,041,La Independencia
08,Chihuahua,041,Maguarichi
11,Guanajuato,041,Uriangato
12,Guerrero,041,Malinaltepec
13,Hidalgo,041,Mixquiahuala de Juárez
14,Jalisco,041,Huejúcar
15,México,041,Ixtapan del Oro
16,Michoacán de Ocampo,041,Irimbo
19,Nuevo León,041,Pesquería
20,Oaxaca,041,Huautla de Jiménez
21,Puebla,041,Cuautlancingo
24,San Luis Potosí,041,Tanlajás
26,Sonora,041,Nacozari de García
28,Tamaulipas,041,Victoria
29,Tlaxcala,041,Papalotla de Xicohténcatl
30,Veracruz de Ignacio de la Llave,041,Coetzala
31,Yucatán,041,Kanasín
32,Zacatecas,041,El Salvador
07,Chiapas,042,Ixhuatán
08,Chihuahua,042,Manuel Benavides
11,Guanajuato,042,Valle de Santiago
12,Guerrero,042,Mártir de Cuilapan
13,Hidalgo,042,Molango de Escamilla
14,Jalisco,042,Huejuquilla el Alto
15,México,042,Ixtlahuaca
16,Michoacán de Ocampo,042,Ixtlán
19,Nuevo León,042,Los Ramones
20,Oaxaca,042,Ixtlán de Juárez
21,Puebla,042,Cuayuca de Andrade
24,San Luis Potosí,042,Tanquián de Escobedo
26,Sonora,042,Navojoa
28,Tamaulipas,042,Villagrán
29,Tlaxcala,042,Xicohtzinco
30,Veracruz de Ignacio de la Llave,042,Colipa
31,Yucatán,042,Kantunil
32,Zacatecas,042,Sombrerete
07,Chiapas,043,Ixtacomitán
08,Chihuahua,043,Matachí
11,Guanajuato,043,Victoria
12,Guerrero,043,Metlatónoc
